net,length_um
_0973_,17.34
_0410_,17.26
_1195_,17.26
_0858_,17.22
regfile.regfile\[16\]\[30\],17.22
regfile.regfile\[21\]\[15\],17.22
_0758_,17.2
_1131_,17.2
regfile.regfile\[7\]\[5\],17.12
_1191_,17.1
_1196_,17.1
_0811_,17.02
_1288_,17.02
regfile.regfile\[12\]\[17\],17
_0728_,16.94
_1298_,16.8
_1027_,16.76
_0936_,16.74
_0770_,16.68
regfile.regfile\[18\]\[31\],16.6
regfile.regfile\[7\]\[11\],16.58
_0671_,16.56
_0695_,16.56
_1184_,16.56
_0432_,16.52
_1010_,16.48
_1138_,16.48
_0875_,16.36
_0270_,16.34
_1180_,16.3
_0761_,16.26
regfile.regfile\[7\]\[6\],16.26
net7,16.22
regfile.regfile\[21\]\[23\],16.2
_0736_,16.18
_0340_,16.16
_0554_,16.14
_1105_,16.14
regfile.regfile\[7\]\[1\],16.14
_0746_,16.1
_1173_,16.1
_0900_,16.08
_0769_,16.015
_0878_,15.98
_0683_,15.94
_1106_,15.94
regfile.regfile\[18\]\[26\],15.92
regfile.regfile\[18\]\[8\],15.92
_0682_,15.88
_0869_,15.88
_1137_,15.88
regfile.regfile\[7\]\[31\],15.88
_0647_,15.86
_0732_,15.86
_0734_,15.86
_0805_,15.86
_1317_,15.86
_0225_,15.84
regfile.regfile\[16\]\[24\],15.84
_0165_,15.805
_1093_,15.78
_0306_,15.76
_0624_,15.76
_1290_,15.72
_1072_,15.7
regfile.regfile\[12\]\[8\],15.68
regfile.regfile\[12\]\[9\],15.68
_0992_,15.62
_0864_,15.6
net28,15.49
regfile.regfile\[18\]\[15\],15.48
regfile.regfile\[18\]\[21\],15.44
_1300_,15.38
regfile.regfile\[18\]\[14\],15.34
regfile.regfile\[12\]\[28\],15.32
_1210_,15.3
_0970_,15.28
_0663_,15.27
_0263_,15.22
regfile.regfile\[18\]\[12\],15.22
_1089_,15.2
_0870_,15.18
_0906_,15.18
regfile.regfile\[0\]\[28\],15.18
_0687_,15.14
regfile.regfile\[18\]\[7\],15.06
_0520_,14.98
_1178_,14.96
_1212_,14.96
_1305_,14.96
_0801_,14.91
_0471_,14.9
_0766_,14.84
_1238_,14.84
_0552_,14.74
net38,14.74
_0553_,14.72
_0901_,14.72
_1244_,14.72
_0283_,14.68
_1041_,14.68
_1060_,14.68
_1046_,14.66
net17,14.58
regfile.regfile\[21\]\[0\],14.56
regfile.regfile\[12\]\[27\],14.54
_1185_,14.5
_1242_,14.5
regfile.regfile\[12\]\[25\],14.48
_1171_,14.46
_1018_,14.42
_1169_,14.42
_0863_,14.38
_0688_,14.34
_1073_,14.3
_0604_,14.24
regfile.regfile\[21\]\[7\],14.24
_0400_,14.22
_0986_,14.22
_1011_,14.21
_0205_,14.2
_0772_,14.18
regfile.regfile\[7\]\[21\],14.14
net41,14.12
_1101_,14.08
_1163_,14.08
_1062_,14.06
_0472_,14.04
_1235_,14.04
_1312_,14.04
regfile.regfile\[7\]\[10\],14.02
_0595_,13.92
_0849_,13.92
_0980_,13.9
regfile.regfile\[0\]\[20\],13.88
regfile.regfile\[21\]\[3\],13.88
_0476_,13.86
_0535_,13.84
_0463_,13.8
_0273_,13.76
