net,length_um
clknet_leaf_142_clk,80.12
clknet_leaf_89_clk,79.98
_2740_,79.68
_1601_,79.2
clknet_leaf_112_clk,78.36
clknet_leaf_130_clk,76.96
clknet_leaf_93_clk,76.54
clknet_leaf_101_clk,76.515
_3282_,76.36
clknet_leaf_16_clk,76.26
_1688_,74.9
_2259_,74.36
clknet_leaf_48_clk,74.32
clknet_leaf_52_clk,73.94
clknet_leaf_80_clk,73.72
clknet_leaf_18_clk,73.62
_1336_,73.5
_1913_,72.98
_1647_,72.74
_1124_,71.28
clknet_leaf_152_clk,71.26
_1948_,70.06
_1401_,69.96
clknet_leaf_144_clk,69.78
_2567_,69.56
clknet_leaf_156_clk,69.2
clknet_leaf_55_clk,68.76
clknet_leaf_36_clk,68.74
_1482_,68.265
_1604_,67.98
_1385_,67.92
clknet_leaf_147_clk,67.1
clknet_leaf_110_clk,66.26
clknet_leaf_63_clk,65.52
clknet_leaf_2_clk,65.26
_2284_,65.14
_2459_,64.94
clknet_leaf_78_clk,64.22
_1710_,64.12
_1988_,63.84
_1164_,63.68
clknet_leaf_79_clk,63.68
_1627_,63.36
_2183_,62.4
clknet_leaf_57_clk,62
clknet_leaf_66_clk,61.72
_1320_,61.7
clknet_leaf_151_clk,61.54
_1608_,61.06
clknet_leaf_81_clk,60.18
_2026_,59.2
_2229_,58.76
_2175_,58.32
_2228_,58.29
_2038_,58.28
_1084_,58.2
_1219_,57.18
_1609_,57.14
clknet_leaf_29_clk,56.98
_1891_,56.94
clknet_leaf_90_clk,56.86
clknet_leaf_115_clk,56.86
_1119_,56.3
_1744_,56.3
clknet_leaf_6_clk,56.22
clknet_leaf_92_clk,55.68
_1245_,55.66
_1188_,55.64
_1065_,55.42
_1192_,55.32
_1429_,55.22
_2402_,55.22
_1361_,55.18
_1138_,55
_1707_,54.84
_1248_,54.82
clknet_leaf_1_clk,54.8
rf.registers\[24\]\[3\],54.74
_2041_,54.42
clknet_leaf_56_clk,53.6
_1713_,53.46
_2087_,53.34
clknet_leaf_14_clk,53.1
_1354_,52.98
rf.registers\[26\]\[21\],52.655
_1946_,52.62
rf.registers\[5\]\[24\],52.6
clknet_leaf_108_clk,52.5
_1501_,52.16
_1031_,52.08
_1397_,52.045
_1297_,51.24
_2427_,51.12
_1494_,51.04
_2130_,51
_2189_,50.66
_1812_,50.24
clknet_leaf_11_clk,50.2
_1296_,49.66
_1672_,49.48
_1851_,49.44
clknet_leaf_70_clk,49.28
_1880_,49.1
_2010_,49.01
_1489_,48.78
_2407_,48.78
_1364_,48.74
_1784_,48.64
rf.registers\[23\]\[2\],48.58
_1970_,48.54
_1947_,48.16
_2958_,48.16
_1973_,48.08
_1835_,48.06
_1333_,48.02
_1472_,47.88
_2182_,47.86
_2285_,47.84
_1120_,47.74
_1348_,47.66
_1938_,47.52
_2178_,47.52
_1469_,47.48
_1409_,47.4
_2177_,47.24
_1766_,47.02
clknet_leaf_88_clk,46.04
_2065_,45.96
_2454_,45.84
rf.registers\[30\]\[31\],45.695
clknet_leaf_13_clk,45.6
_3173_,45.2
_2495_,44.96
_1454_,44.94
_1510_,44.8
clknet_leaf_128_clk,44.8
_1963_,44.72
rf.registers\[0\]\[11\],44.72
_1411_,44.66
_1356_,44.46
_1826_,44.46
_1959_,43.9
_2184_,43.48
rf.registers\[25\]\[4\],43.42
rf.registers\[20\]\[10\],43.4
clknet_leaf_33_clk,43.38
_1668_,43.34
clknet_leaf_41_clk,43.34
clknet_leaf_114_clk,43.34
_1682_,43.16
rf.registers\[10\]\[19\],43.01
rf.registers\[11\]\[16\],43
rf.registers\[10\]\[4\],42.875
rf.registers\[8\]\[11\],42.82
rf.registers\[16\]\[7\],42.76
_1979_,42.74
rf.registers\[13\]\[15\],42.22
_2383_,42.16
clknet_leaf_117_clk,42.12
rf.registers\[26\]\[20\],42.115
_1592_,42.1
rf.registers\[13\]\[6\],42.02
_1574_,41.96
_1930_,41.96
_2638_,41.8
rf.registers\[8\]\[21\],41.5
_1558_,41.32
rf.registers\[10\]\[3\],41.315
clknet_leaf_40_clk,41.16
_1597_,41.14
rf.registers\[31\]\[21\],41.14
rf.registers\[23\]\[30\],41.1
rf.registers\[18\]\[2\],41.07
rf.registers\[15\]\[21\],40.98
_2158_,40.9
clknet_leaf_76_clk,40.84
_2406_,40.82
_3100_,40.82
_2368_,40.74
rf.registers\[11\]\[27\],40.66
clknet_leaf_154_clk,40.62
_2388_,40.58
clknet_leaf_26_clk,40.58
rf.registers\[10\]\[9\],40.48
rf.registers\[10\]\[17\],40.465
_1265_,40.425
rf.registers\[8\]\[24\],40.36
_1178_,39.96
_2008_,39.96
_2520_,39.76
rf.registers\[25\]\[24\],39.76
clknet_leaf_113_clk,39.62
clknet_leaf_24_clk,39.6
_1323_,39.52
rf.registers\[26\]\[5\],39.37
rf.registers\[12\]\[21\],39.36
_2009_,39.3
rf.registers\[25\]\[9\],39.3
clknet_leaf_82_clk,39.26
_2094_,39.14
_2121_,39.14
_1330_,39.02
rf.registers\[21\]\[7\],39.02
_1637_,38.9
_1412_,38.82
rf.registers\[12\]\[15\],38.82
_2506_,38.8
rf.registers\[27\]\[6\],38.76
rf.registers\[22\]\[7\],38.675
rf.registers\[31\]\[9\],38.62
rf.registers\[8\]\[2\],38.54
_1099_,38.5
rf.registers\[9\]\[24\],38.5
_2421_,38.48
rf.registers\[12\]\[31\],38.4
rf.registers\[6\]\[4\],38.25
rf.registers\[24\]\[16\],38.24
_1818_,38.18
rf.registers\[9\]\[15\],38.12
rf.registers\[20\]\[2\],38.04
rf.registers\[10\]\[23\],37.975
rf.registers\[7\]\[26\],37.86
_2181_,37.84
_1386_,37.82
_1602_,37.76
rf.registers\[17\]\[21\],37.72
rf.registers\[27\]\[18\],37.7
rf.registers\[0\]\[4\],37.62
rf.registers\[21\]\[2\],37.6
_2426_,37.52
_1479_,37.48
rf.registers\[7\]\[3\],37.48
rf.registers\[7\]\[9\],37.48
_2496_,37.28
rf.registers\[22\]\[14\],37.195
rf.registers\[16\]\[10\],37.14
rf.registers\[0\]\[25\],37.1
clknet_leaf_158_clk,37.08
clknet_leaf_97_clk,37.06
rf.registers\[13\]\[9\],37.02
rf.registers\[10\]\[31\],37.01
_1839_,36.98
clknet_leaf_35_clk,36.98
rf.registers\[31\]\[3\],36.94
_1864_,36.86
_2423_,36.84
rf.registers\[20\]\[6\],36.71
rf.registers\[27\]\[9\],36.7
_2176_,36.64
rf.registers\[5\]\[12\],36.64
rf.registers\[21\]\[31\],36.6
rf.registers\[10\]\[20\],36.555
rf.registers\[12\]\[30\],36.54
rf.registers\[15\]\[1\],36.52
rf.registers\[9\]\[5\],36.52
_1902_,36.5
rf.registers\[30\]\[30\],36.445
rf.registers\[14\]\[2\],36.315
rf.registers\[12\]\[9\],36.3
_1278_,36.26
_2266_,36.12
_2069_,36.06
_1975_,36.04
rf.registers\[3\]\[31\],36
_2291_,35.98
_1426_,35.94
_2166_,35.86
rf.registers\[5\]\[20\],35.84
rf.registers\[27\]\[21\],35.82
_1823_,35.815
rf.registers\[2\]\[13\],35.775
_1518_,35.76
rf.registers\[14\]\[11\],35.695
rf.registers\[24\]\[13\],35.62
_2428_,35.61
_1701_,35.58
rf.registers\[6\]\[16\],35.52
_1478_,35.5
_2200_,35.5
rf.registers\[31\]\[30\],35.5
_1419_,35.46
rf.registers\[16\]\[28\],35.46
rf.registers\[1\]\[17\],35.42
